ID,Smile,Smirk,Anger,Sadness,Disgust,Joy,Surprise,Fear,Contempt,BrowFurrow,Energy,Content,Upset,Angry,Stressed,Uncertain,Excited,Concentrated,EmoCogRatio,Hesitation,BrainPower,Embar,IThink,Imagin,ExtremeEmotion,Arousal,Movement,M_Activity,M_Rate,M_Consistency,M_Mirror,M_MirrorLag,Posture,P_Activity,P_Rate,P_Mirroring,P_MirrorLag,Successful interruptions,Unsuccessful interruptions,Speed of Turn,Overlap,Total Speaking,Volume,Volume Consistency,Pitch,Vol_Mirroring,Vol_MirrorLag,ContinuumLith_high
13,4.228751,0.0007469999999999999,0.035422,0.000306,24.455477,0.020636,4.489555999999999,10.242315,0.14843699999999999,8e-05,5.5,0.0,2.25,0.0,1.5,19.25,14.75,11.75,113.75,13.0,714.5,0.0,1.25,0.5,2.5,8.5,0.033538416,0.006344833,0.000331413,0.984930005,0.25694907,22.59375,77.25461406,1.426076432,-0.003113993,0.168678577,17.40625,1.0,1.0,0.548387097,0.053125,0.215625,0.01097354,0.286692404,218.54263419999998,0.139281063,31.03125,Higher
18,23.794998,1.426624,0.002061,0.00034500000000000004,11.412199000000001,21.114176999999998,67.64017199999999,0.171509,0.19705699999999998,0.9621200000000001,8.8,0.0,0.0,0.0,1.6,15.0,16.0,11.8,109.0,16.0,799.2,5.6,0.0,0.0,1.4,3.2,0.011162,0.007344,-7.6e-05,0.979783,0.189409,28.290322999999997,83.691056,2.218354,-0.009956,0.170677,25.322581,1.0,0.0,0.0,0.135484,0.587097,0.007304000000000001,0.9938739999999999,191.580131,0.0,0.0,Higher
19,27.9913,0.513509,0.12013800000000001,0.018106999999999998,1.173036,26.150772,7.886678999999999,0.017438,0.150661,2.087012,8.0,0.0,0.0,0.0,3.5,11.0,15.0,7.5,70.5,18.0,554.0,0.0,2.5,2.0,1.0,5.0,0.020066,0.002806,6.500000000000001e-05,0.995009,0.13456500000000002,28.419355,78.427926,1.431094,0.008782,0.28288,16.16129,0.0,0.0,0.0,0.196774,0.512903,0.0055,1.0,148.53899199999998,0.0,0.0,Higher
20,0.001791,0.14867,0.019832,0.001923,3.026256,0.0061990000000000005,1.422614,0.004002,0.195827,0.032274000000000004,5.555556,0.0,1.333333,0.0,4.777778,16.0,18.222222,13.0,87.777778,16.666667,695.0,0.0,3.666667,1.333333,1.666667,2.0,0.011689,0.0021149999999999997,4e-06,0.996093,0.158474,23.967742,84.459385,0.478446,0.0034100000000000003,0.186871,29.387096999999997,0.0,0.0,0.0,0.048387,0.283871,0.005029,1.0,191.935228,0.0,0.0,Lower
21,0.169743,1.6429080000000003,1.095157,0.313567,4.6372800000000005,0.000826,30.206352000000003,0.262694,1.438995,10.460377000000001,4.0,0.0,1.2,0.0,5.733333,15.866667000000001,16.466667,13.133332999999999,63.4,16.066667000000002,579.0,0.466667,4.6,2.333333,0.666667,2.266667,0.013918,0.007316,0.000153,0.9821409999999999,0.119065,21.774194,82.318893,1.8540159999999999,0.037756,0.22306700000000002,25.935484,1.0,0.0,0.0,0.216129,0.332258,0.010725,0.734815,183.843232,0.0,0.0,Higher
22,0.022383,0.41940900000000003,0.001795,1.273149,0.43778900000000004,0.001341,8.976683999999999,0.002523,0.20286500000000002,0.100061,2.294118,0.0,1.0,0.0,5.882353,15.176471,15.941176,11.352941,56.529412,16.058823999999998,629.176471,0.0,5.470587999999999,3.411765,0.705882,1.352941,0.025175,0.007892,0.000256,0.984798,0.27665100000000004,22.580645,76.356338,3.16732,-0.14847,0.23317399999999996,26.741934999999998,0.0,1.0,0.193548,0.109677,0.31290300000000004,0.009633,0.45643999999999996,184.831314,0.088697,0.0,Higher
23,8.201194000000001,0.07173500000000001,0.012055,0.052774,9.893222,6.2362910000000005,37.009734,1.8017299999999998,0.173152,0.027393999999999998,6.3333330000000005,0.0,0.4,0.0,3.8666669999999996,13.933333,14.0,13.6,97.2,15.466667000000001,680.666667,0.466667,1.466667,2.066667,1.2,2.6,0.044257,0.012437,0.0006450000000000001,0.9793200000000001,0.192395,26.645160999999998,66.175539,3.883265,0.00404,0.30107399999999995,25.16129,5.0,0.0,0.032257999999999995,0.0,0.019355,0.006645999999999999,0.448928,174.45888300000001,0.5364720000000001,4.193548000000001,Higher
24,0.009382,0.0070680000000000005,0.038158,0.003026,2.1759060000000003,0.008902,10.589191,0.319737,0.192984,0.082439,8.75,0.0,0.0,0.0,4.125,13.875,17.375,15.625,113.625,18.0,785.1875,0.0,0.625,0.9375,1.875,4.8125,0.027387,0.009048,4.3e-05,0.986202,0.220144,28.903226,74.800363,2.6147419999999997,0.025041,0.201078,29.806452,4.0,1.0,0.193548,0.016128999999999998,0.03871,0.012740000000000001,0.77996,207.784469,0.18919,8.967742,Higher
25,0.000193,0.00011,0.0009449999999999999,0.036299,1.7025290000000002,0.000388,27.455887,1.384478,0.192675,0.000595,2.333333,0.0,1.0,0.0,5.111111,16.777778,12.888889,8.444444,48.111111,17.333333,595.0,4.6666669999999995,7.111111,3.888889,0.333333,1.111111,0.027357,0.004911,-6.3e-05,0.993455,0.209296,15.354839000000002,73.808204,1.5332780000000001,-0.006812,0.228987,23.741935,0.0,0.0,0.0,0.0,0.0,0.0053560000000000005,1.0,152.481642,0.0,0.0,Higher
26,8.339596,1.551709,0.130132,0.016362,4.261544000000001,7.381883,28.917519,0.965184,0.683686,0.138069,7.785714,0.0,0.0,0.0,4.071429,13.214285999999998,17.571429000000002,9.428571,93.714286,16.857143,677.5,2.0,1.0714290000000002,1.5,1.214286,3.642857,0.012863,0.004203,-8.8e-05,0.9923040000000001,0.172718,23.419355,75.516138,1.503396,0.019767,0.144081,27.032258000000002,6.0,3.0,0.032257999999999995,0.06129,0.5032260000000001,0.010786,0.545616,200.422752,0.015489,0.41935500000000003,Higher
